"x","y","sigmaNovelty","cell","EEZ"
129.875,32.125,0.0192724931539629,3247,"Japanese Exclusive Economic Zone"
131.625,32.125,0.012171959185191,3274,"Japanese Exclusive Economic Zone"
129.625,31.875,0.0209321830428672,3219,"Japanese Exclusive Economic Zone"
129.875,31.875,0.0503241242154635,3247,"Japanese Exclusive Economic Zone"
130.125,31.875,0.224738091396251,3247,"Japanese Exclusive Economic Zone"
131.625,31.875,0.0378072382347487,3274,"Japanese Exclusive Economic Zone"
131.875,31.875,0.00793094246261814,3274,"Japanese Exclusive Economic Zone"
129.375,31.625,0.00665918413278749,3219,"Japanese Exclusive Economic Zone"
129.625,31.625,0.0281167596576663,3246,"Japanese Exclusive Economic Zone"
129.875,31.625,0.036302537294878,3246,"Japanese Exclusive Economic Zone"
130.125,31.625,0.0558544400441517,3246,"Japanese Exclusive Economic Zone"
130.625,31.625,0.0479377403119418,3246,"Japanese Exclusive Economic Zone"
131.625,31.625,0.0554768080938325,3274,"Japanese Exclusive Economic Zone"
131.875,31.625,0.0132127856937495,3274,"Japanese Exclusive Economic Zone"
129.125,31.375,0.002108224751045,3219,"Japanese Exclusive Economic Zone"
129.375,31.375,0.018573155340829,3246,"Japanese Exclusive Economic Zone"
129.625,31.375,0.0275548611755347,3246,"Japanese Exclusive Economic Zone"
129.875,31.375,0.010203150460147,3246,"Japanese Exclusive Economic Zone"
130.125,31.375,0.0450792077008393,3246,"Japanese Exclusive Economic Zone"
130.625,31.375,0.000780852013372283,3246,"Japanese Exclusive Economic Zone"
131.125,31.375,0.0756136742834618,3246,"Japanese Exclusive Economic Zone"
131.375,31.375,0.114213990688488,3246,"Japanese Exclusive Economic Zone"
131.625,31.375,0.00666064537973349,3274,"Japanese Exclusive Economic Zone"
129.125,31.125,0.00165114476926673,3219,"Japanese Exclusive Economic Zone"
129.375,31.125,0.00568795417715631,3246,"Japanese Exclusive Economic Zone"
129.625,31.125,0.0114466213581748,3246,"Japanese Exclusive Economic Zone"
129.875,31.125,0.0038370892104833,3246,"Japanese Exclusive Economic Zone"
130.125,31.125,0.00270510949052746,3246,"Japanese Exclusive Economic Zone"
130.375,31.125,0.00188729894910432,3246,"Japanese Exclusive Economic Zone"
130.625,31.125,0.000757786530917191,3246,"Japanese Exclusive Economic Zone"
131.125,31.125,0.101798709971725,3246,"Japanese Exclusive Economic Zone"
131.375,31.125,0.00292265658169088,3246,"Japanese Exclusive Economic Zone"
131.625,31.125,0.0412524529711674,3246,"Japanese Exclusive Economic Zone"
129.375,30.875,0.00136640515670888,3246,"Japanese Exclusive Economic Zone"
129.625,30.875,0.000649671764342781,3246,"Japanese Exclusive Economic Zone"
129.875,30.875,0.002778416829864,3246,"Japanese Exclusive Economic Zone"
130.125,30.875,0.00273643086511758,3246,"Japanese Exclusive Economic Zone"
130.375,30.875,0.00292914634045593,3246,"Japanese Exclusive Economic Zone"
130.625,30.875,0.00919282239821612,3246,"Japanese Exclusive Economic Zone"
130.875,30.875,0.00912070558680034,3246,"Japanese Exclusive Economic Zone"
131.125,30.875,0.00108139317757751,3246,"Japanese Exclusive Economic Zone"
131.375,30.875,0.0190602312284059,3246,"Japanese Exclusive Economic Zone"
131.625,30.875,0.0573763322858776,3246,"Japanese Exclusive Economic Zone"
140.125,30.875,0.00278658682779344,3356,"Japanese Exclusive Economic Zone"
140.375,30.875,0.0197255793551542,3356,"Japanese Exclusive Economic Zone"
129.375,30.625,0.00128493467201485,3246,"Japanese Exclusive Economic Zone"
129.625,30.625,0.00197858000099587,3246,"Japanese Exclusive Economic Zone"
129.875,30.625,0.00556862316814818,3246,"Japanese Exclusive Economic Zone"
130.125,30.625,0.0046565553446339,3246,"Japanese Exclusive Economic Zone"
130.375,30.625,0.00104558112895824,3246,"Japanese Exclusive Economic Zone"
130.625,30.625,0.00378729237074586,3246,"Japanese Exclusive Economic Zone"
130.875,30.625,0.0222644513063761,3246,"Japanese Exclusive Economic Zone"
131.125,30.625,0.0073248386040664,3246,"Japanese Exclusive Economic Zone"
131.375,30.625,0.0390972776852727,3246,"Japanese Exclusive Economic Zone"
131.625,30.625,0.00896090178018209,3246,"Japanese Exclusive Economic Zone"
140.125,30.625,0.00520354030749302,3356,"Japanese Exclusive Economic Zone"
140.375,30.625,0.0224998345196351,3356,"Japanese Exclusive Economic Zone"
122.125,30.375,1.64242715097271,3164,"Chinese Exclusive Economic Zone"
122.375,30.375,2.31141976206749,3164,"Chinese Exclusive Economic Zone"
129.375,30.375,0.000369852348949634,3246,"Japanese Exclusive Economic Zone"
129.625,30.375,0.000682552660268508,3246,"Japanese Exclusive Economic Zone"
129.875,30.375,0.00142659274199988,3246,"Japanese Exclusive Economic Zone"
130.125,30.375,0.00238124483037322,3246,"Japanese Exclusive Economic Zone"
130.375,30.375,0.00110581770418222,3246,"Japanese Exclusive Economic Zone"
131.125,30.375,0.00373439114165452,3246,"Japanese Exclusive Economic Zone"
131.375,30.375,0.000312102253299876,3246,"Japanese Exclusive Economic Zone"
131.625,30.375,0.00140039885960839,3246,"Japanese Exclusive Economic Zone"
122.375,30.125,3.97420262910984,3164,"Chinese Exclusive Economic Zone"
129.375,30.125,7.16261595248785e-05,3246,"Japanese Exclusive Economic Zone"
129.625,30.125,0.000178430974138462,3246,"Japanese Exclusive Economic Zone"
129.875,30.125,5.4523743859166e-05,3246,"Japanese Exclusive Economic Zone"
130.125,30.125,0.000198185063514405,3246,"Japanese Exclusive Economic Zone"
130.375,30.125,0.000627232733140534,3246,"Japanese Exclusive Economic Zone"
130.625,30.125,0.00319685576353465,3246,"Japanese Exclusive Economic Zone"
130.875,30.125,0.00126740869188653,3246,"Japanese Exclusive Economic Zone"
131.125,30.125,0.000738795586129003,3246,"Japanese Exclusive Economic Zone"
131.375,30.125,0.00246012116514664,3246,"Japanese Exclusive Economic Zone"
48.125,29.875,0.0383151537620286,2366,"Kuwaiti Exclusive Economic Zone"
48.375,29.875,0.0731579105765772,2366,"Kuwaiti Exclusive Economic Zone"
48.625,29.875,0.122322666247759,2366,"Iraqi Exclusive Economic Zone"
48.875,29.875,0.892913380606818,2366,"Iranian Exclusive Economic Zone"
129.375,29.875,0.000197760606660074,3246,"Japanese Exclusive Economic Zone"
129.625,29.875,0.000196927334845399,3246,"Japanese Exclusive Economic Zone"
129.875,29.875,0.000195613643069568,3246,NA
130.125,29.875,0.000317153673684652,3246,"Japanese Exclusive Economic Zone"
130.375,29.875,0.000228682278420683,3246,"Japanese Exclusive Economic Zone"
130.625,29.875,0.00126672834668683,3246,"Japanese Exclusive Economic Zone"
130.875,29.875,0.0018113231648563,3246,"Japanese Exclusive Economic Zone"
131.125,29.875,0.000931106466732706,3246,"Japanese Exclusive Economic Zone"
48.375,29.625,0.10084013015264,2366,"Kuwaiti Exclusive Economic Zone"
48.625,29.625,0.0753115755556269,2366,"Iraqi Exclusive Economic Zone"
48.875,29.625,0.731439865455171,2366,"Iranian Exclusive Economic Zone"
129.375,29.625,0.0012092316679688,3246,"Japanese Exclusive Economic Zone"
129.625,29.625,0.000462924826637044,3246,"Japanese Exclusive Economic Zone"
129.875,29.625,0.000308152203021579,3246,"Japanese Exclusive Economic Zone"
130.125,29.625,0.000116177087336427,3246,"Japanese Exclusive Economic Zone"
47.875,29.375,0.151488680010518,2338,"Kuwaiti Exclusive Economic Zone"
48.125,29.375,0.036374714305009,2338,"Kuwaiti Exclusive Economic Zone"
48.375,29.375,0.165795195845446,2366,"Kuwaiti Exclusive Economic Zone"
48.625,29.375,0.445801561119853,2366,"Kuwaiti Exclusive Economic Zone"
129.125,29.375,0.00139658545546348,3218,"Japanese Exclusive Economic Zone"
129.375,29.375,0.000905900777976362,3246,"Japanese Exclusive Economic Zone"
129.625,29.375,0.000709411922951854,3246,"Japanese Exclusive Economic Zone"
129.875,29.375,0.000325513793374684,3246,"Japanese Exclusive Economic Zone"
130.125,29.375,0.000343334007177278,3246,"Japanese Exclusive Economic Zone"
48.375,29.125,1.06018693602284,2338,"Kuwaiti Exclusive Economic Zone"
128.875,29.125,0.000483906970071798,3218,"Japanese Exclusive Economic Zone"
129.125,29.125,0.000996201843776346,3218,"Japanese Exclusive Economic Zone"
129.375,29.125,0.000565779700012633,3218,"Japanese Exclusive Economic Zone"
129.625,29.125,0.000569762261544262,3245,"Japanese Exclusive Economic Zone"
129.875,29.125,0.000332669585384388,3245,"Japanese Exclusive Economic Zone"
130.125,29.125,0.000783542712093224,3245,"Japanese Exclusive Economic Zone"
128.875,28.875,0.000753665227121492,3218,"Japanese Exclusive Economic Zone"
129.125,28.875,0.000971751639044675,3218,"Japanese Exclusive Economic Zone"
129.375,28.875,0.000898689313571699,3245,"Japanese Exclusive Economic Zone"
129.625,28.875,0.000745423748613682,3245,"Japanese Exclusive Economic Zone"
129.875,28.875,0.000226761444154791,3245,"Japanese Exclusive Economic Zone"
130.125,28.875,0.000353834988733492,3245,"Japanese Exclusive Economic Zone"
128.875,28.625,0.00125528549907651,3218,"Japanese Exclusive Economic Zone"
129.125,28.625,0.001054148206527,3218,"Japanese Exclusive Economic Zone"
129.375,28.625,0.000882533187163372,3245,"Japanese Exclusive Economic Zone"
129.625,28.625,0.000914432521361011,3245,"Japanese Exclusive Economic Zone"
129.875,28.625,0.000735115377919714,3245,"Japanese Exclusive Economic Zone"
130.125,28.625,0.00144608539562338,3245,"Japanese Exclusive Economic Zone"
128.875,28.375,0.000765801805296586,3218,"Japanese Exclusive Economic Zone"
129.125,28.375,0.000852135307124516,3245,"Japanese Exclusive Economic Zone"
129.375,28.375,0.000330046761891332,3245,"Japanese Exclusive Economic Zone"
129.625,28.375,0.0030522394844553,3245,"Japanese Exclusive Economic Zone"
129.875,28.375,0.00209987763272723,3245,"Japanese Exclusive Economic Zone"
130.125,28.375,0.000787873589891828,3245,"Japanese Exclusive Economic Zone"
130.375,28.375,0.0011223957020482,3245,"Japanese Exclusive Economic Zone"
128.375,28.125,0.000337955292344276,3218,"Japanese Exclusive Economic Zone"
128.625,28.125,0.00132116123030118,3218,"Japanese Exclusive Economic Zone"
128.875,28.125,0.000903939629072833,3245,"Japanese Exclusive Economic Zone"
129.125,28.125,0.00111589904526047,3245,"Japanese Exclusive Economic Zone"
129.625,28.125,0.00330140047928024,3245,"Japanese Exclusive Economic Zone"
129.875,28.125,0.0019111981231648,3245,"Japanese Exclusive Economic Zone"
130.125,28.125,0.00143782625087113,3245,"Japanese Exclusive Economic Zone"
130.375,28.125,0.000437561257738791,3245,"Japanese Exclusive Economic Zone"
121.625,27.875,0.132982151744642,3135,"Chinese Exclusive Economic Zone"
121.875,27.875,0.133749393098739,3135,"Chinese Exclusive Economic Zone"
125.625,27.875,0.00236364744515751,3190,"Japanese Exclusive Economic Zone"
125.875,27.875,0.000408818870426655,3190,"Japanese Exclusive Economic Zone"
128.125,27.875,7.78066940129349e-05,3218,"Japanese Exclusive Economic Zone"
128.375,27.875,0.00177838624369729,3218,"Japanese Exclusive Economic Zone"
128.625,27.875,0.000698833375107158,3218,"Japanese Exclusive Economic Zone"
128.875,27.875,0.0011231565938806,3245,"Japanese Exclusive Economic Zone"
129.125,27.875,0.00143642773039496,3245,"Japanese Exclusive Economic Zone"
129.375,27.875,0.000541455877135824,3245,"Japanese Exclusive Economic Zone"
129.625,27.875,0.000331475980741651,3245,"Japanese Exclusive Economic Zone"
129.875,27.875,0.00095978784867393,3245,"Japanese Exclusive Economic Zone"
130.125,27.875,0.000530462149973796,3245,"Japanese Exclusive Economic Zone"
142.125,27.875,0.000285720608438392,3383,"Japanese Exclusive Economic Zone"
142.375,27.875,0.000180771995995155,3383,"Japanese Exclusive Economic Zone"
120.875,27.625,1.19620016369228,3135,"Chinese Exclusive Economic Zone"
121.625,27.625,0.10843447370632,3135,"Chinese Exclusive Economic Zone"
121.875,27.625,0.126882026549668,3135,"Chinese Exclusive Economic Zone"
125.375,27.625,0.00162925954957969,3190,"Japanese Exclusive Economic Zone"
125.625,27.625,0.000175251305616514,3190,"Japanese Exclusive Economic Zone"
125.875,27.625,0.000362572630623203,3190,"Japanese Exclusive Economic Zone"
127.875,27.625,0.000510163255157758,3217,"Japanese Exclusive Economic Zone"
128.125,27.625,0.000625779878575732,3217,"Japanese Exclusive Economic Zone"
128.375,27.625,0.00211438722435039,3217,"Japanese Exclusive Economic Zone"
128.625,27.625,0.0010779925541146,3217,"Japanese Exclusive Economic Zone"
128.875,27.625,0.00100065807399827,3245,"Japanese Exclusive Economic Zone"
129.125,27.625,0.000797724284263283,3245,"Japanese Exclusive Economic Zone"
129.375,27.625,0.000724518267888916,3245,"Japanese Exclusive Economic Zone"
141.875,27.625,0.000830743369545969,3382,"Japanese Exclusive Economic Zone"
142.125,27.625,0.00226808898932541,3382,"Japanese Exclusive Economic Zone"
142.375,27.625,0.00174555196761623,3382,"Japanese Exclusive Economic Zone"
142.625,27.625,0.00416588419122269,3382,"Japanese Exclusive Economic Zone"
51.125,27.375,0.125736829220247,2392,"Iranian Exclusive Economic Zone"
51.375,27.375,0.0711606572812895,2392,"Iranian Exclusive Economic Zone"
125.125,27.375,0.00632523794644305,3190,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
125.375,27.375,0.0036454115880712,3190,"Japanese Exclusive Economic Zone"
125.625,27.375,0.000322076288582535,3190,"Japanese Exclusive Economic Zone"
127.625,27.375,0.00019670631383766,3217,"Japanese Exclusive Economic Zone"
127.875,27.375,0.000344136238614739,3217,"Japanese Exclusive Economic Zone"
128.125,27.375,0.00039656537517867,3217,"Japanese Exclusive Economic Zone"
128.375,27.375,0.00142782890231759,3217,"Japanese Exclusive Economic Zone"
128.875,27.375,0.0006874162801852,3245,"Japanese Exclusive Economic Zone"
129.125,27.375,0.0011939943499921,3245,"Japanese Exclusive Economic Zone"
140.625,27.375,1.61081604390883e-05,3355,"Japanese Exclusive Economic Zone"
140.875,27.375,5.38122730813973e-05,3355,"Japanese Exclusive Economic Zone"
141.875,27.375,0.00385328734108667,3382,"Japanese Exclusive Economic Zone"
142.125,27.375,0.00330681219122497,3382,"Japanese Exclusive Economic Zone"
142.375,27.375,0.000393656045250029,3382,"Japanese Exclusive Economic Zone"
142.625,27.375,0.000848858795859081,3382,"Japanese Exclusive Economic Zone"
51.125,27.125,0.055235688321656,2392,"Iranian Exclusive Economic Zone"
51.375,27.125,0.0331433471883966,2392,"Iranian Exclusive Economic Zone"
52.625,27.125,0.0358318275152294,2392,"Iranian Exclusive Economic Zone"
52.875,27.125,0.0265245973801642,2392,"Iranian Exclusive Economic Zone"
56.125,27.125,0.0980321622851936,2419,"Iranian Exclusive Economic Zone"
56.375,27.125,0.0952138431279465,2419,"Iranian Exclusive Economic Zone"
120.625,27.125,0.0328548557967193,3135,"Chinese Exclusive Economic Zone"
125.125,27.125,1.04308977189945e-05,3190,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
125.375,27.125,0.000203172826682262,3190,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
126.875,27.125,8.69425416568079e-05,3217,"Japanese Exclusive Economic Zone"
127.125,27.125,0.00213347662934115,3217,"Japanese Exclusive Economic Zone"
127.375,27.125,0.00134284364089728,3217,"Japanese Exclusive Economic Zone"
127.625,27.125,0.000181883466434404,3217,"Japanese Exclusive Economic Zone"
127.875,27.125,9.2075102984933e-05,3217,"Japanese Exclusive Economic Zone"
128.125,27.125,0.000336023671284297,3217,"Japanese Exclusive Economic Zone"
128.375,27.125,0.00108119047859011,3217,"Japanese Exclusive Economic Zone"
128.625,27.125,0.000914936239662079,3217,"Japanese Exclusive Economic Zone"
128.875,27.125,0.000624263241349757,3217,"Japanese Exclusive Economic Zone"
140.625,27.125,0.000196820151236349,3355,"Japanese Exclusive Economic Zone"
140.875,27.125,9.19397467461987e-05,3355,"Japanese Exclusive Economic Zone"
141.875,27.125,0.00157674148770028,3382,"Japanese Exclusive Economic Zone"
142.125,27.125,0.00149809643964254,3382,"Japanese Exclusive Economic Zone"
142.375,27.125,0.00842686714529032,3382,"Japanese Exclusive Economic Zone"
142.625,27.125,0.00608005909922351,3382,"Japanese Exclusive Economic Zone"
120.375,26.875,0.107039229334304,3135,"Chinese Exclusive Economic Zone"
120.625,26.875,0.0334585353645245,3135,"Chinese Exclusive Economic Zone"
120.875,26.875,0.0599516370215813,3135,"Chinese Exclusive Economic Zone"
126.625,26.875,0.000454926802191694,3217,"Japanese Exclusive Economic Zone"
126.875,26.875,0.00276587993150346,3217,"Japanese Exclusive Economic Zone"
127.125,26.875,0.00204992600624242,3217,"Japanese Exclusive Economic Zone"
127.375,26.875,0.000627803005145457,3217,"Japanese Exclusive Economic Zone"
127.625,26.875,6.0111667135502e-05,3217,"Japanese Exclusive Economic Zone"
127.875,26.875,1.67607685954324e-05,3217,"Japanese Exclusive Economic Zone"
128.125,26.875,0.000526906408271383,3217,"Japanese Exclusive Economic Zone"
128.375,26.875,0.000887032491972193,3217,"Japanese Exclusive Economic Zone"
128.625,26.875,0.000658176158969981,3217,"Japanese Exclusive Economic Zone"
141.875,26.875,0.000452419058062013,3382,"Japanese Exclusive Economic Zone"
142.125,26.875,0.00365654873395165,3382,"Japanese Exclusive Economic Zone"
142.375,26.875,0.00646115936130254,3382,"Japanese Exclusive Economic Zone"
142.625,26.875,0.00280374403994002,3382,"Japanese Exclusive Economic Zone"
56.875,26.625,0.290109462530793,2447,"Iranian Exclusive Economic Zone"
120.375,26.625,0.00727358696422743,3135,"Chinese Exclusive Economic Zone"
120.625,26.625,0.0305728453584567,3135,"Chinese Exclusive Economic Zone"
120.875,26.625,0.0536335523271275,3135,"Chinese Exclusive Economic Zone"
121.125,26.625,0.0252606999434648,3135,"Chinese Exclusive Economic Zone"
126.375,26.625,0.000269294094784698,3217,"Japanese Exclusive Economic Zone"
126.625,26.625,0.00085738470965619,3217,"Japanese Exclusive Economic Zone"
126.875,26.625,0.00230783375876507,3217,"Japanese Exclusive Economic Zone"
127.125,26.625,0.00165095139744791,3217,"Japanese Exclusive Economic Zone"
127.375,26.625,0.000713824382525453,3217,"Japanese Exclusive Economic Zone"
127.625,26.625,9.82105869075727e-06,3217,"Japanese Exclusive Economic Zone"
127.875,26.625,9.76536117269653e-06,3217,"Japanese Exclusive Economic Zone"
128.375,26.625,0.000499954927285412,3217,"Japanese Exclusive Economic Zone"
128.625,26.625,0.00044748533100312,3217,"Japanese Exclusive Economic Zone"
142.125,26.625,0.00916622820683508,3382,"Japanese Exclusive Economic Zone"
142.375,26.625,0.00500185849399049,3382,"Japanese Exclusive Economic Zone"
50.625,26.375,0.12889687009571,2364,"Bahraini Exclusive Economic Zone"
50.875,26.375,0.0887309399485487,2364,"Bahraini Exclusive Economic Zone"
56.625,26.375,0.30551150782862,2419,"Omani Exclusive Economic Zone"
56.875,26.375,0.30502819774686,2419,"Iranian Exclusive Economic Zone"
120.125,26.375,0.0201924128395811,3135,"Chinese Exclusive Economic Zone"
120.375,26.375,0.028929393923338,3135,"Chinese Exclusive Economic Zone"
120.625,26.375,0.0594610881778562,3135,"Chinese Exclusive Economic Zone"
120.875,26.375,5.73479635922817e-05,3135,"Chinese Exclusive Economic Zone"
121.125,26.375,0.00701678896859284,3135,"Chinese Exclusive Economic Zone"
126.375,26.375,4.41013861303076e-05,3217,"Japanese Exclusive Economic Zone"
126.625,26.375,0.00207429588998708,3217,"Japanese Exclusive Economic Zone"
126.875,26.375,0.00199974070371095,3217,"Japanese Exclusive Economic Zone"
127.125,26.375,0.000989832700934965,3217,"Japanese Exclusive Economic Zone"
127.375,26.375,0.00013431395553926,3217,"Japanese Exclusive Economic Zone"
127.625,26.375,1.52737040194002e-07,3217,"Japanese Exclusive Economic Zone"
127.875,26.375,0.0011501547466987,3217,"Japanese Exclusive Economic Zone"
128.125,26.375,0.000452694050276757,3217,"Japanese Exclusive Economic Zone"
128.375,26.375,0.000356009228412105,3217,"Japanese Exclusive Economic Zone"
128.625,26.375,0.000971616670750742,3217,"Japanese Exclusive Economic Zone"
50.875,26.125,0.0101234256245244,2364,"Bahraini Exclusive Economic Zone"
56.625,26.125,0.33794740895836,2419,"Omani Exclusive Economic Zone"
56.875,26.125,0.319981029595571,2419,"Iranian Exclusive Economic Zone"
57.125,26.125,0.438089381686424,2446,"Iranian Exclusive Economic Zone"
119.875,26.125,0.133544468604317,3135,"Chinese Exclusive Economic Zone"
120.125,26.125,0.0668132414809152,3135,"Chinese Exclusive Economic Zone"
120.375,26.125,0.0430719657551992,3135,"Chinese Exclusive Economic Zone"
120.625,26.125,0.0123721501652065,3135,"Chinese Exclusive Economic Zone"
120.875,26.125,0.0165094028236782,3135,"Chinese Exclusive Economic Zone"
121.875,26.125,0.00640286399908372,3162,"Taiwanese Exclusive Economic Zone"
122.125,26.125,0.000640606486745662,3162,"Taiwanese Exclusive Economic Zone"
126.625,26.125,0.00366529997994387,3217,"Japanese Exclusive Economic Zone"
126.875,26.125,0.000898481205714485,3217,"Japanese Exclusive Economic Zone"
127.125,26.125,0.000277694194708626,3217,"Japanese Exclusive Economic Zone"
127.375,26.125,9.71545208209187e-06,3217,"Japanese Exclusive Economic Zone"
127.625,26.125,0.000105814838348882,3217,"Japanese Exclusive Economic Zone"
127.875,26.125,5.38169995247036e-05,3217,"Japanese Exclusive Economic Zone"
128.125,26.125,0.0004266960384856,3217,"Japanese Exclusive Economic Zone"
128.375,26.125,0.000814772004660205,3217,"Japanese Exclusive Economic Zone"
56.625,25.875,0.306864136495357,2419,"Omani Exclusive Economic Zone"
56.875,25.875,0.407147202599026,2419,"Iranian Exclusive Economic Zone"
57.125,25.875,0.380320606406248,2446,"Iranian Exclusive Economic Zone"
119.875,25.875,0.227976668241516,3135,"Chinese Exclusive Economic Zone"
120.125,25.875,0.0107099667047275,3135,"Chinese Exclusive Economic Zone"
120.375,25.875,5.40115964476192e-05,3135,"Chinese Exclusive Economic Zone"
120.625,25.875,0.00790247491417626,3135,"Chinese Exclusive Economic Zone"
121.625,25.875,0.00756869807315828,3162,"Taiwanese Exclusive Economic Zone"
121.875,25.875,0.00179563969627919,3162,"Taiwanese Exclusive Economic Zone"
122.125,25.875,0.0013402004524531,3162,"Taiwanese Exclusive Economic Zone"
122.375,25.875,0.00319974043655676,3162,"Taiwanese Exclusive Economic Zone"
123.625,25.875,0.00219986812380585,3162,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
123.875,25.875,0.000749198150404076,3162,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
124.625,25.875,0.000134802999885531,3189,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
124.875,25.875,2.94102990989586e-05,3189,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
126.875,25.875,0.000526786022839046,3217,"Japanese Exclusive Economic Zone"
127.125,25.875,0.000101576317993276,3217,"Japanese Exclusive Economic Zone"
127.375,25.875,3.26723332019923e-05,3217,"Japanese Exclusive Economic Zone"
127.625,25.875,0.000420321793840249,3217,"Japanese Exclusive Economic Zone"
127.875,25.875,0.00128659963152221,3217,"Japanese Exclusive Economic Zone"
128.125,25.875,0.00143347062618279,3217,"Japanese Exclusive Economic Zone"
131.125,25.875,0.000162431325754374,3244,"Japanese Exclusive Economic Zone"
131.375,25.875,0.00137429761011656,3272,"Japanese Exclusive Economic Zone"
55.375,25.625,1.10218390144121,2419,"United Arab Emirates Exclusive Economic Zone"
55.625,25.625,1.30513065168241,2419,"United Arab Emirates Exclusive Economic Zone"
56.375,25.625,0.195049057733614,2419,"United Arab Emirates Exclusive Economic Zone"
56.625,25.625,0.411556689782824,2419,"United Arab Emirates Exclusive Economic Zone"
57.125,25.625,0.486461082120861,2446,"Iranian Exclusive Economic Zone"
57.375,25.625,0.378438087641913,2446,"Iranian Exclusive Economic Zone"
57.625,25.625,0.271703694878164,2446,"Iranian Exclusive Economic Zone"
57.875,25.625,0.151298948213137,2446,"Iranian Exclusive Economic Zone"
119.625,25.625,0.438047643045059,3107,"Chinese Exclusive Economic Zone"
119.875,25.625,0.161120766633899,3134,"Chinese Exclusive Economic Zone"
120.125,25.625,0.0455915554069101,3134,"Chinese Exclusive Economic Zone"
120.375,25.625,0.00519965700340687,3134,"Chinese Exclusive Economic Zone"
120.625,25.625,0.00169437995812976,3134,"Chinese Exclusive Economic Zone"
120.875,25.625,0.0100622699085371,3134,"Taiwanese Exclusive Economic Zone"
121.125,25.625,0.0101216079899091,3134,"Taiwanese Exclusive Economic Zone"
121.375,25.625,0.0360779716062038,3134,"Taiwanese Exclusive Economic Zone"
121.625,25.625,0.00324138547570511,3162,"Taiwanese Exclusive Economic Zone"
121.875,25.625,0.001786618779741,3162,"Taiwanese Exclusive Economic Zone"
122.125,25.625,0.00125707268636376,3162,"Taiwanese Exclusive Economic Zone"
122.375,25.625,0.000551414432532089,3162,"Taiwanese Exclusive Economic Zone"
122.625,25.625,0.00549583861949075,3162,"Taiwanese Exclusive Economic Zone"
123.625,25.625,0.000399538622011878,3162,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
123.875,25.625,0.000221841718238478,3162,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
124.625,25.625,1.11178326659182e-05,3189,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
124.875,25.625,1.11166319924423e-05,3189,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
125.125,25.625,0.000237658216485028,3189,"Overlapping claim Senkaku Islands: Japan / China / Taiwan"
125.375,25.625,0.00016027127327804,3189,"Japanese Exclusive Economic Zone"
125.625,25.625,5.81834317429784e-05,3189,"Japanese Exclusive Economic Zone"
131.125,25.625,0.000281726463737498,3244,"Japanese Exclusive Economic Zone"
131.375,25.625,0.000100524960563823,3272,"Japanese Exclusive Economic Zone"
51.625,25.375,0.330662085469465,2364,"Qatari Exclusive Economic Zone"
51.875,25.375,0.253876719881636,2391,"Qatari Exclusive Economic Zone"
55.125,25.375,0.671300906905235,2419,"United Arab Emirates Exclusive Economic Zone"
55.375,25.375,0.923749202752341,2419,"United Arab Emirates Exclusive Economic Zone"
56.375,25.375,0.409899284038178,2419,"United Arab Emirates Exclusive Economic Zone"
56.625,25.375,0.409598890032595,2419,"United Arab Emirates Exclusive Economic Zone"
57.375,25.375,0.639392549876092,2446,"Iranian Exclusive Economic Zone"
57.625,25.375,0.432899861082669,2446,"Iranian Exclusive Economic Zone"
57.875,25.375,0.271999073018895,2446,"Iranian Exclusive Economic Zone"
58.125,25.375,0.0794455091718017,2446,"Iranian Exclusive Economic Zone"
58.375,25.375,0.0209149050719194,2446,"Iranian Exclusive Economic Zone"
58.625,25.375,0.0173529052698678,2446,"Iranian Exclusive Economic Zone"
58.875,25.375,0.00954540159163399,2446,"Iranian Exclusive Economic Zone"
59.125,25.375,0.0123008806594628,2446,"Iranian Exclusive Economic Zone"
59.375,25.375,0.0151679732928481,2446,"Iranian Exclusive Economic Zone"
59.625,25.375,0.0129273741719792,2474,"Iranian Exclusive Economic Zone"
66.125,25.375,0.00128931996348805,2529,"Pakistani Exclusive Economic Zone"
66.375,25.375,0.00137629143743465,2556,"Pakistani Exclusive Economic Zone"
119.375,25.375,0.366875715500173,3107,"Chinese Exclusive Economic Zone"
119.875,25.375,0.0367681698974047,3134,"Chinese Exclusive Economic Zone"
120.125,25.375,0.0376862813491233,3134,"Chinese Exclusive Economic Zone"
120.375,25.375,0.0173124747047275,3134,"Chinese Exclusive Economic Zone"
120.625,25.375,0.00440531278302478,3134,"Taiwanese Exclusive Economic Zone"
120.875,25.375,0.00444929011602707,3134,"Taiwanese Exclusive Economic Zone"
121.125,25.375,0.0597574235048508,3134,"Taiwanese Exclusive Economic Zone"
121.375,25.375,0.00773718682215662,3134,"Taiwanese Exclusive Economic Zone"
121.625,25.375,0.000747011940137599,3134,"Taiwanese Exclusive Economic Zone"
